APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
CHHATRAPATI SAMBHAJINAGAR,----,QUINTAL,142,700,1900,1300
MUMBAI-FRUIT MARKET,----,QUINTAL,1176,3500,4500,4000
SHRIRAMPUR,----,QUINTAL,30,800,2000,1400
SOLAPUR,LOCAL,QUINTAL,11,500,3000,2000
NASHIK,LOCAL,QUINTAL,22,1500,2800,2000
AMARAWATI-FRUIT AND VEGETABLES,LOCAL,QUINTAL,18,3000,4000,3500
SANGLI-PHALE BHAJI PALA MRKT,LOCAL,QUINTAL,123,2000,4500,3200
PUNE,LOCAL,QUINTAL,182,1500,5000,3300
,,,,,,
