APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
KOLHAPUR,----,QUINTAL,64,500,2500,1500
RAHATA,----,QUINTAL,24,500,1600,1000
PUNE,LOCAL,QUINTAL,254,1000,2500,1750
PUNE-PIMPRI,LOCAL,QUINTAL,8,1500,2500,2000
VADGAON PETH,LOCAL,QUINTAL,68,1200,2000,1500
BHUSAVAL,LOCAL,QUINTAL,70,1000,1000,1000
VAI,LOCAL,QUINTAL,10,1200,1500,1350
