APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
JUNNAR (NARAYANGAON),----,QUINTAL,15,1500,4500,3000
JUNNAR-OTUR,LOCAL,QUINTAL,184,2000,4600,3300
MANCHAR,LOCAL,QUINTAL,13,1000,4500,2750
