APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
KOLHAPUR,----,QUINTAL,45,3000,13500,4000
NASHIK,DILICIOUS- No.1,QUINTAL,10,9000,15000,12000
SANGLI-PHALE BHAJI PALA MRKT,LOCAL,QUINTAL,120,6000,18000,12000
PUNE,LOCAL,QUINTAL,701,4000,13000,8500
AMARAWATI-FRUIT AND VEGETABLES,SIMLA - No.1,QUINTAL,30,8000,10000,9000
KALYAN,SIMLA - No.1,QUINTAL,3,11000,15000,13000
