APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
RAHATA,----,QUINTAL,1,1500,1500,1500
VADGAON PETH,LOCAL,QUINTAL,34,2000,3000,2500
BHUSAVAL,LOCAL,QUINTAL,4,1000,1000,1000
