APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
NASHIK,BHUSAVALI,QUINTAL,90,2500,4200,3500
KALYAN,HYBRID,QUINTAL,3,2000,3400,2700
PUNE,LOCAL,QUINTAL,2,800,1400,1100
YAWAL,No. 1,QUINTAL,4390,2330,2730,2630
