APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
CHHATRAPTI SAMBHAJINAGAR,----,QUINTAL,360,500,800,650
MUMBAI-FRUIT MARKET,----,QUINTAL,3270,800,1400,1100
SHRIRAMPUR,----,QUINTAL,32,800,1500,1150
SOLAPUR,LOCAL,QUINTAL,377,1000,3500,2000
AMARAWATI-FRUIT AND VEGETABLES,LOCAL,QUINTAL,570,600,1000,800
SANGLI-PHALE BHAJI PALA MRKT,LOCAL,QUINTAL,490,700,1500,1100
PUNE,LOCAL,QUINTAL,1405,500,800,650
BHUSAVAL,LOCAL,QUINTAL,6,1000,1000,1000
,,,,,,
