APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
SHRIRAMPUR,----,NAG,1950,3,5,4
HINGNA,----,QUINTAL,2,1000,1000,1000
KALYAN,HYBRID,NAG,3,15,20,17
KALMESHWAR,HYBRID,QUINTAL,13,2545,3000,2835
JALGAON,LOCAL,QUINTAL,2,1000,1000,1000
PUNE,LOCAL,NAG,1950,4,12,8
PUNE-PIMPRI,LOCAL,NAG,800,6,7,7
NAGPUR,LOCAL,QUINTAL,180,1000,1500,1325
MUMBAI,LOCAL,QUINTAL,4,2000,2500,2250
KAMTHI,LOCAL,QUINTAL,2,600,1000,800
