APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
KARMALA,----,QUINTAL,1,5300,5300,5300
AKOLA,HIRWA,QUINTAL,6,7700,7700,7700
PUNE,HIRWA,QUINTAL,34,7800,8500,8150
MALEGAON,HIRWA,QUINTAL,2,3580,7751,3580
LAKHANDUR,HIRWA,QUINTAL,11,6500,6600,6550
NAGPUR,LOCAL,QUINTAL,6,6800,7000,6950
MUMBAI,LOCAL,QUINTAL,192,8200,11000,9500
