APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
CHHATRAPATI SAMBHAJINAGAR,----,NAG,9,1500,2000,1750
MUMBAI-FRUIT MARKET,----,QUINTAL,314,2500,5000,3750
KALYAN,HYBRID,QUINTAL,3,3000,4000,3500
SOLAPUR,LOCAL,QUINTAL,37,1000,2000,1500
NASHIK,LOCAL,QUINTAL,16,1000,1500,1250
PUNE,LOCAL,QUINTAL,141,1500,3000,2300
