APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
NASHIK,----,QUINTAL,102,2000,4000,3000
CHHATRAPATI SAMBHAJINAGAR,----,QUINTAL,17,3500,4500,4000
MUMBAI-FRUIT MARKET,----,QUINTAL,608,3000,7000,5000
KALYAN,HYBRID,QUINTAL,3,2000,4000,3000
AMARAWATI-FRUIT AND VEGETABLES,LOCAL,QUINTAL,10,1800,2400,2100
SANGLI-PHALE BHAJI PALA MRKT,LOCAL,QUINTAL,10,4500,13000,8750
PUNE,LOCAL,QUINTAL,222,3000,7000,5000
NAGPUR,No. 1,QUINTAL,1500,4500,5300,5100
