APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
KOLHAPUR,----,QUINTAL,117,300,500,400
RAHURI,----,QUINTAL,25,200,600,400
RAHATA,----,QUINTAL,36,200,400,300
PUNE,LOCAL,QUINTAL,389,300,700,500
VADGAON PETH,LOCAL,QUINTAL,67,400,600,500
BHUSAVAL,LOCAL,QUINTAL,36,500,500,500
